grid_x,grid_y,grid_z,average_main_time
30,30,30,174239.4
50,50,50,692047.0
100,100,100,4400380.0
150,150,150,13703400.0
200,200,200,32419700.0
250,250,250,61296333.333333336
300,300,300,103625000.0
