iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S)
60048,1,30x30x30,137894.16,27000,13,152.8480104
60048,1,50x50x50,500500,125000,13,194.961039
60048,1,100x100x100,2934944,1000000,13,265.9757733
60048,1,150x150x150,8852361,3375000,13,297.6161953
60048,1,200x200x200,20584380,8000000,13,303.3849939
60048,1,250x250x250,38499200,15625000,13,316.8182715
60048,1,300x300x300,64601500,27000000,13,326.2594212
Max,,,,,,326.2594212
