iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S)
60004,1,30x30x30,174239.4,27000,13,120.8762427
60004,1,50x50x50,692047,125000,13,140.8957773
60004,1,100x100x100,4400380,1000000,13,177.2692358
60004,1,150x150x150,13703400,3375000,13,192.1184159
60004,1,200x200x200,32419700,8000000,13,192.4883944
60004,1,250x250x250,61296333.33,15625000,13,198.8424403
60004,1,300x300x300,103625000,27000000,13,203.2463595
Max,,,,,,203.2463595
