grid_x,grid_y,grid_z,average_main_time
30,30,30,64821.657999999996
50,50,50,235991.12
75,75,75,655626.95
100,100,100,1397382.0
150,150,150,4241114.0
200,200,200,9918060.0
250,250,250,18555000.0
300,300,300,31183200.0
