grid_x,grid_y,grid_z,average_main_time
30,30,1,5900.85
60,60,1,10859.05
100,100,1,22434.92
200,100,1,38382.67
200,200,1,67336.42
300,150,1,75599.95
300,300,1,138914.0
300,350,1,160032.0
300,375,1,170618.65
300,400,1,181059.0
300,425,1,191631.75
300,450,1,202296.45
300,475,1,212852.85
300,500,1,223301.05
300,525,1,233920.6
300,550,1,244512.45
300,575,1,255059.45
400,200,1,130810.5
400,300,1,188718.15
400,350,1,217592.9
400,375,1,232052.0
400,400,1,246489.15
400,425,1,260957.5
