grid_x,grid_y,grid_z,average_main_time
100,1,1,4642.135
150,1,1,4689.815
200,1,1,4615.655
500,1,1,4153.605
1000,1,1,4000.6000000000004
2000,1,1,4157.195
5000,1,1,4030.005
10000,1,1,4036.0150000000003
20000,1,1,4063.9049999999997
30000,1,1,4153.885
