grid_x,grid_y,grid_z,average_main_time
30,30,1,3362.08
60,60,1,5496.45
100,100,1,10068.8
200,100,1,16841.04
200,200,1,26152.91
300,150,1,30458.52
300,300,1,50854.6
300,350,1,57677.25
300,375,1,61109.75
300,400,1,64567.6
300,425,1,67939.25
300,450,1,71366.55
300,475,1,74759.65
300,500,1,78085.3
300,525,1,81541.65
300,550,1,84956.7
300,575,1,88295.4
400,200,1,50170.45
400,300,1,68709.8
400,350,1,78158.95
400,375,1,82848.85
400,400,1,87316.8
400,425,1,92134.85
