grid_x,grid_y,grid_z,batch_size,average_main_time
30,30,30,1,91709.2
50,50,50,1,399799.4
100,100,100,1,2376049.0
150,150,150,1,7217376.5
200,200,200,1,16216930.0
250,250,250,1,30653220.0
300,300,300,1,51819300.0
