grid_x,grid_y,grid_z,average_main_time
100,1,1,3388.8217000000004
150,1,1,3359.4972
200,1,1,3391.6215
500,1,1,3558.0606
1000,1,1,4067.2329999999997
2000,1,1,4723.8146
5000,1,1,6901.768599999999
10000,1,1,10068.0978
20000,1,1,18175.928
30000,1,1,25644.79
