iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_10k_batches(kJ)
60060,1,100x100,10199.82,10000,6,353.3003524,5000,41.84615385,59008,2.469257846,0.000493852,0.493851569
60060,1,200x100,17140.05,20000,6,420.4888551,5000,42.8,93495,4.001586,0.000800317,0.8003172
60060,1,200x200,26584.7,40000,6,542.2066076,5000,46.06896552,137504,6.334667034,0.001266933,1.266933407
60060,1,300x150,30894.05,45000,6,524.8971889,2500,44.61111111,83516,3.725741556,0.001490297,1.490296622
60060,1,300x300,51696.1,90000,6,627.3664745,1000,45.07692308,59008,2.659899077,0.002659899,2.659899077
60060,1,400x200,50903,80000,6,566.3477595,500,43.71428571,29433,1.286642571,0.002573285,2.573285143
60060,1,400x300,69885.65,120000,6,618.7708063,500,45.22222222,38934,1.760682,0.003521364,3.521364
60060,1,400x400,88811.95,160000,6,649.2099318,500,47.36363636,48954,2.318639455,0.004637279,4.637278909
Max,,,,,,649.2099318,,,,,,
