iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S)
60060,1,100x100,12498.48,10000,6,288.3230601
60060,1,200x100,18450.33,20000,6,390.6271595
60060,1,200x200,25288.88,40000,6,569.9896555
60060,1,300x150,28941.98,45000,6,560.3002974
60060,1,300x300,43542.92,90000,6,744.8375075
60060,1,400x200,43287.34,80000,6,665.9868682
60060,1,400x300,56159.4,120000,6,770.0082266
60060,1,400x400,69574.6,160000,6,828.7162269
Max,,,,,,828.7162269
