iterations,batch,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S)
  60048,1,100x100,  10631.71,10000,6,338.880575
60048,1,200x100,17990.65,20000,6,400.528052
60048,1,200x200,27788.62,40000,6,518.612295
60048,1,300x150,32170.86,45000,6,503.964146
60048,1,300x300,53166.2,90000,6,609.897266
60048,1,400x200,51543.04,80000,6,559.203338
60048,1,400x300,70267.0333,120000,6,615.289389
60048,1,400x400,89272.8667,160000,6,645.729012
Max,,,,,,645.729012
