grid_x,grid_y,grid_z,average_main_time
30,30,30,68883.742
50,50,50,239874.06
75,75,75,657373.85
100,100,100,1401905.0
150,150,150,4245016.0
200,200,200,9900804.0
250,250,250,18556900.0
300,300,300,31186400.0
