grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
30,30,30,60000,0,1,3138.16,1.41314e+06,1.41628e+06
30,30,30,60000,1,1,36.664,1.41364e+06,1.41368e+06
30,30,30,60000,2,1,35.152,1.4224e+06,1.42244e+06
30,30,30,60000,3,1,35.263,1.42196e+06,1.422e+06
30,30,30,60000,4,1,35.613,1.42015e+06,1.42019e+06
30,30,30,60000,5,1,35.683,1.42136e+06,1.4214e+06
30,30,30,60000,6,1,35.392,1.41804e+06,1.41808e+06
30,30,30,60000,7,1,34.582,1.41753e+06,1.41757e+06
30,30,30,60000,8,1,35.222,1.41949e+06,1.41953e+06
30,30,30,60000,9,1,36.174,1.42119e+06,1.42122e+06
