grid_x,grid_y,grid_z,average_main_time
100,100,1,410907.05
200,100,1,412496.4
200,200,1,408405.3
300,150,1,406096.7
300,300,1,404500.25
400,200,1,395876.3
400,300,1,419303.7
400,400,1,442692.0
