grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
200,100,1,60000,10,1,109.911,416002,416664
200,100,1,60000,11,1,113.01,413425,414098
200,100,1,60000,12,1,113.964,410392,411028
200,100,1,60000,13,1,110.865,414753,415416
200,100,1,60000,14,1,115.156,400295,400923
200,100,1,60000,15,1,110.149,404832,405489
200,100,1,60000,16,1,109.911,406170,406804
200,100,1,60000,17,1,140.905,408991,409645
200,100,1,60000,18,1,111.103,412563,413208
200,100,1,60000,19,1,133.038,417744,418433
200,100,1,60000,1,1,111.103,415493,416152
200,100,1,60000,20,1,108.957,410503,411148
200,100,1,60000,2,1,113.964,416280,416914
200,100,1,60000,3,1,108.004,411931,412575
200,100,1,60000,4,1,108.004,412136,412783
200,100,1,60000,5,1,113.01,428668,429326
200,100,1,60000,6,1,109.911,414482,415126
200,100,1,60000,7,1,115.156,411946,412608
200,100,1,60000,8,1,113.964,411138,411797
200,100,1,60000,9,1,113.01,412184,412873
