grid_x,grid_y,grid_z,average_main_time
30,30,30,1588375.0
50,50,50,2208990.0
100,100,100,8238595.0
150,150,150,25965850.0
200,200,200,78857200.0
250,250,250,151809000.0
300,300,300,263027500.0
