grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
30,30,30,60000,0,1,3468.01,1.40897e+06,1.41244e+06
30,30,30,60000,1,1,98.416,1.40453e+06,1.40463e+06
30,30,30,60000,2,1,90.904,1.41098e+06,1.41107e+06
30,30,30,60000,3,1,104.315,1.41002e+06,1.41013e+06
30,30,30,60000,4,1,100.109,1.41153e+06,1.41163e+06
30,30,30,60000,5,1,105.576,1.408e+06,1.4081e+06
30,30,30,60000,6,1,98.626,1.40968e+06,1.40978e+06
30,30,30,60000,7,1,104.365,1.40823e+06,1.40834e+06
30,30,30,60000,8,1,97.855,1.4094e+06,1.4095e+06
30,30,30,60000,9,1,105.596,1.40782e+06,1.40792e+06
