grid_x,grid_y,grid_z,average_main_time
30,30,30,1408916.0
50,50,50,1480067.0
100,100,100,2091030.0
150,150,150,3909690.0
200,200,200,9349270.0
250,250,250,16665250.0
300,300,300,27779950.0
