iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S)
60000,1,30x30x30,68883.742,27000,10,235.1788612
60000,1,50x50x50,239874.06,125000,10,312.6640705
60000,1,75x75x75,657373.85,421875,10,385.0548664
60000,1,100x100x100,1401905,1000000,10,427.9890577
60000,1,150x150x150,4245016,3375000,10,477.0300041
60000,1,200x200x200,9900804,8000000,10,484.8091125
60000,1,250x250x250,18556900,15625000,10,505.2029164
60000,1,300x300x300,31186400,27000000,10,519.4571993
Max,,,,,,519.4571993
