iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_10k_batches(kJ)
60000,1,30x30x30,52151.9,27000,10,310.6310604,500,40.65385781,35995,1.463335612,0.002926671,0.146333561
60000,1,50x50x50,182897,125000,10,410.0668682,500,45.14016757,93572,4.22385576,0.008447712,0.422385576
60000,1,75x75x75,411033,421875,10,615.8264665,200,43.90413406,84360,3.703752749,0.018518764,0.925938187
60000,1,100x100x100,902473,1000000,10,664.8398345,200,44.92911246,184144,8.273426485,0.041367132,2.068356621
60000,1,150x150x150,2542750,3375000,10,796.38187,100,46.0043959,259396,11.93335628,0.119333563,5.966678139
60000,1,200x200x200,5481090,8000000,10,875.73822,100,46.50343719,558384,25.96677527,0.259667753,12.98338764
60000,1,250x250x250,10089700,15625000,10,929.1653865,50,47.83027608,514412,24.60446798,0.49208936,24.60446798
60000,1,300x300x300,16746500,27000000,10,967.3663153,20,47.08034416,342201,16.11094085,0.805547043,40.27735213
Max,,,,,,967.3663153,,,,,,
