grid_x,grid_y,grid_z,average_main_time
30,30,30,137894.16
50,50,50,500500.0
100,100,100,2934944.0
150,150,150,8852361.0
200,200,200,20584380.0
250,250,250,38499200.0
300,300,300,64601500.0
