grid_x,grid_y,grid_z,average_main_time
30,30,1,1600885.0
50,50,1,2238085.0
100,100,1,8348205.0
150,150,1,26970850.0
200,200,1,78899100.0
250,250,1,153458000.0
300,300,1,265244000.0
