grid_x,grid_y,grid_z,batch_size,average_main_time
30,30,1,1,9494.0
60,60,1,1,10304.0
100,100,1,1,17843.0
200,100,1,1,29985.0
200,200,1,1,54733.0
300,150,1,1,60510.0
300,300,1,1,114901.4
400,200,1,1,106593.2
400,300,1,1,156128.05
400,400,1,1,220892.65
30,30,1,10,1942.1600000000003
60,60,1,10,5503.74
100,100,1,10,14473.16
30,30,1,20,1796.25
60,60,1,20,5347.789999999999
30,30,1,50,1705.5500000000002
