grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
200,200,1,60000,0,1,2555.06,348870,351425
200,200,1,60000,1,1,9.654,351687,351697
200,200,1,60000,2,1,8.643,351688,351696
200,200,1,60000,3,1,8.333,351372,351380
200,200,1,60000,4,1,8.603,362718,362727
200,200,1,60000,5,1,8.482,356522,356530
200,200,1,60000,6,1,7.952,351515,351523
200,200,1,60000,7,1,8.072,355177,355185
200,200,1,60000,8,1,8.313,351298,351307
200,200,1,60000,9,1,8.172,351828,351837
200,200,1,60000,10,1,26.169,359696,359722
200,200,1,60000,11,1,7.922,358264,358272
200,200,1,60000,12,1,7.611,359572,359580
200,200,1,60000,13,1,8.242,359059,359067
200,200,1,60000,14,1,8.683,356513,356522
200,200,1,60000,15,1,8.203,360018,360026
200,200,1,60000,16,1,8.372,358589,358597
200,200,1,60000,17,1,8.312,352192,352201
200,200,1,60000,18,1,8.152,351115,351123
200,200,1,60000,19,1,8.192,356118,356126
