grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
200,100,1,60000,0,1,2586.26,411968,414554
200,100,1,60000,1,1,12.609,413120,413133
200,100,1,60000,2,1,10.596,411963,411974
200,100,1,60000,3,1,10.465,411743,411753
200,100,1,60000,4,1,10.015,412250,412260
200,100,1,60000,5,1,10.506,412066,412076
200,100,1,60000,6,1,10.435,411734,411744
200,100,1,60000,7,1,10.346,411912,411922
200,100,1,60000,8,1,10.385,411982,411992
200,100,1,60000,9,1,10.075,412628,412638
200,100,1,60000,10,1,10.075,412316,412326
200,100,1,60000,11,1,10.586,413246,413256
200,100,1,60000,12,1,10.195,413768,413778
200,100,1,60000,13,1,10.406,414206,414217
200,100,1,60000,14,1,10.465,413853,413863
200,100,1,60000,15,1,10.215,413587,413597
200,100,1,60000,16,1,10.506,413426,413437
200,100,1,60000,17,1,10.085,413839,413850
200,100,1,60000,18,1,10.135,414378,414388
200,100,1,60000,19,1,10.766,413846,413857
