grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
175,175,175,1800,0,1,622.204,1.03807e+07,1.03813e+07
175,175,175,1800,1,1,28.001,1.20841e+07,1.20841e+07
