grid_x,grid_y,grid_z,average_main_time
30,30,30,65837.1
30,30,50,99390.0
50,50,16,94900.0
50,50,30,131154.5
50,50,50,185203.0
75,75,75,947956.0
100,100,100,2088925.0
125,125,125,4182610.0
150,150,150,6951925.0
175,175,175,11232400.0
200,200,200,16211350.0
225,225,225,24032100.0
250,250,250,31967750.0
