grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
400,200,1,60000,10,1,124.224,361561,361685
400,200,1,60000,11,1,122.031,361525,361647
400,200,1,60000,12,1,124.595,361557,361682
400,200,1,60000,13,1,130.814,361873,362003
400,200,1,60000,14,1,133.238,361798,361931
400,200,1,60000,15,1,162.13,361500,361662
400,200,1,60000,16,1,132.036,361905,362037
400,200,1,60000,17,1,128.01,361458,361586
400,200,1,60000,18,1,127.82,361566,361694
400,200,1,60000,19,1,124.845,361528,361653
400,200,1,60000,1,1,125.566,361919,362044
400,200,1,60000,20,1,143.443,400230,400374
400,200,1,60000,2,1,126.348,361860,361986
400,200,1,60000,3,1,144.454,363772,363916
400,200,1,60000,4,1,122.051,361960,362082
400,200,1,60000,5,1,129.281,361568,361698
400,200,1,60000,6,1,133.878,361919,362053
400,200,1,60000,7,1,126.367,361953,362079
400,200,1,60000,8,1,132.978,361562,361695
400,200,1,60000,9,1,123.343,362048,362172
