grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
200,100,1,60000,10,1,137.284,408747,408884
200,100,1,60000,11,1,133.117,410001,410134
200,100,1,60000,12,1,137.444,406343,406480
200,100,1,60000,13,1,137.223,406950,407087
200,100,1,60000,14,1,164.283,410045,410210
200,100,1,60000,15,1,157.483,410942,411099
200,100,1,60000,16,1,139.988,406852,406992
200,100,1,60000,17,1,141.55,407356,407498
200,100,1,60000,18,1,154.549,411674,411828
200,100,1,60000,19,1,138.926,405955,406094
200,100,1,60000,1,1,138.175,414540,414678
200,100,1,60000,20,1,140.989,405659,405800
200,100,1,60000,2,1,151.415,411607,411758
200,100,1,60000,3,1,134.029,408644,408778
200,100,1,60000,4,1,136.513,410799,410936
200,100,1,60000,5,1,142.021,412917,413059
200,100,1,60000,6,1,190.552,414262,414453
200,100,1,60000,7,1,141.149,407181,407322
200,100,1,60000,8,1,151.685,406710,406861
200,100,1,60000,9,1,138.355,410376,410515
