grid_x,grid_y,grid_z,batch_size,average_main_time
30,30,30,1,52855.7
50,50,50,1,185700.5
75,75,75,1,417830.95
100,100,100,1,917681.9
150,150,150,1,2585776.0
200,200,200,1,5573792.0
250,250,250,1,10260550.0
300,300,300,1,17030050.0
