grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
100,100,1,60000,10,1,113.01,409593,410248
100,100,1,60000,11,1,114.918,411489,412142
100,100,1,60000,12,1,108.957,407391,408023
100,100,1,60000,13,1,116.11,415885,416508
100,100,1,60000,14,1,108.957,412681,413329
100,100,1,60000,15,1,107.05,408780,409395
100,100,1,60000,16,1,112.057,419501,420128
100,100,1,60000,17,1,117.064,410323,410994
100,100,1,60000,18,1,132.084,412448,413098
100,100,1,60000,19,1,134.23,416442,417071
100,100,1,60000,1,1,112.057,407392,408021
100,100,1,60000,20,1,109.911,412999,413650
100,100,1,60000,2,1,113.01,406838,407463
100,100,1,60000,3,1,112.057,409702,410361
100,100,1,60000,4,1,116.11,409881,410550
100,100,1,60000,5,1,115.871,416272,416895
100,100,1,60000,6,1,113.01,413740,414366
100,100,1,60000,7,1,108.957,405644,406262
100,100,1,60000,8,1,110.865,402755,403376
100,100,1,60000,9,1,115.871,408385,409048
