grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
300,300,1,60000,10,1,120.878,404652,405254
300,300,1,60000,11,1,118.971,402945,403626
300,300,1,60000,12,1,121.832,405392,406081
300,300,1,60000,13,1,131.13,405598,406280
300,300,1,60000,14,1,114.918,404735,405409
300,300,1,60000,15,1,118.017,405427,406098
300,300,1,60000,16,1,116.11,405458,406143
300,300,1,60000,17,1,116.825,402099,402782
300,300,1,60000,18,1,180.96,405421,406175
300,300,1,60000,19,1,117.064,404932,405607
300,300,1,60000,1,1,114.918,405037,405684
300,300,1,60000,20,1,133.991,407549,408254
300,300,1,60000,2,1,118.017,405083,405762
300,300,1,60000,3,1,119.925,403337,404029
300,300,1,60000,4,1,119.925,402535,403194
300,300,1,60000,5,1,141.859,403764,404484
300,300,1,60000,6,1,117.064,404223,404897
300,300,1,60000,7,1,114.918,403395,404066
300,300,1,60000,8,1,123.024,403477,404092
300,300,1,60000,9,1,120.878,404946,405620
