grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
10000,1,1,60060,10,1,2587.52,465099,467687
10000,1,1,60060,11,1,3122.7,465806,468929
10000,1,1,60060,12,1,3425.6,470478,473904
10000,1,1,60060,13,1,2841.26,463321,466163
10000,1,1,60060,14,1,2603.73,466372,468976
10000,1,1,60060,15,1,2609.34,466461,469070
10000,1,1,60060,16,1,3104.06,463029,466133
10000,1,1,60060,17,1,2645.68,457067,459713
10000,1,1,60060,18,1,2474.74,461104,463579
10000,1,1,60060,19,1,2769.23,465625,468395
10000,1,1,60060,1,1,2490.46,464898,467388
10000,1,1,60060,20,1,3103.2,462229,465332
10000,1,1,60060,2,1,2987.64,460477,463465
10000,1,1,60060,3,1,2636.52,465456,468092
10000,1,1,60060,4,1,2617.95,321969,324587
10000,1,1,60060,5,1,2662.33,463298,465960
10000,1,1,60060,6,1,2521.57,318630,321152
10000,1,1,60060,7,1,3104.73,467264,470368
10000,1,1,60060,8,1,2576.14,324726,327302
10000,1,1,60060,9,1,2861.03,331254,334115
