Timestamp,Power (W)
1747440209730,55.802130
1747440209993,55.802130
1747440210251,55.802130
1747440210505,55.802130
1747440210764,51.172185
1747440211016,51.172185
1747440211268,51.172185
1747440211533,51.172185
1747440211801,76.460500
1747440212048,76.460500
1747440212298,76.460500
1747440212561,76.460500
1747440212815,74.647094
1747440213078,74.647094
1747440213340,74.647094
1747440213600,74.647094
1747440213870,76.462325
1747440214127,76.462325
1747440214372,76.462325
1747440214630,76.462325
1747440214890,76.507312
1747440215150,76.507312
1747440215402,76.507312
1747440215652,76.507312
1747440215924,77.125936
1747440216176,77.125936
1747440216431,77.125936
1747440216691,77.125936
1747440216953,76.521695
1747440217210,76.521695
1747440217464,76.521695
1747440217726,76.521695
1747440217985,76.890140
1747440218235,76.890140
1747440218495,76.890140
1747440218757,76.890140
1747440219031,77.152284
1747440219298,77.152284
1747440219549,77.152284
1747440219801,77.152284
1747440220069,76.332609
1747440220329,76.332609
1747440220578,76.332609
1747440220826,76.332609
1747440221096,76.921054
1747440221343,76.921054
1747440221600,76.921054
1747440221851,76.921054
1747440222114,76.597520
1747440222380,76.597520
1747440222640,76.597520
1747440222895,76.597520
1747440223163,76.950135
1747440223418,76.950135
1747440223669,76.950135
1747440223925,76.950135
1747440224199,76.878442
1747440224459,76.878442
1747440224723,76.878442
1747440224981,76.878442
1747440225249,77.040210
1747440225502,77.040210
1747440225763,77.040210
1747440226022,77.040210
1747440226286,77.362265
1747440226546,77.362265
1747440226809,77.362265
1747440227062,77.362265
1747440227331,76.676193
1747440227588,76.676193
1747440227840,76.676193
1747440228106,76.676193
1747440228372,77.021324
1747440228627,77.021324
1747440228882,77.021324
1747440229131,77.021324
1747440229393,76.811092
1747440229656,76.811092
1747440229914,76.811092
1747440230168,76.811092
1747440230442,77.216108
1747440230691,77.216108
1747440230938,77.216108
1747440231187,77.216108
1747440231464,76.430468
1747440231717,76.430468
1747440231972,76.430468
1747440232232,76.430468
1747440232489,73.080519
1747440232742,73.080519
1747440233007,73.080519
1747440233257,73.080519
1747440233519,76.678707
1747440233778,76.678707
1747440234029,76.678707
1747440234273,76.678707
1747440234528,77.091997
1747440234778,77.091997
1747440235041,77.091997
1747440235286,77.091997
1747440235546,76.488944
1747440235795,76.488944
1747440236040,76.488944
1747440236291,76.488944
1747440236563,73.115144
1747440236818,73.115144
1747440237061,73.115144
1747440237312,73.115144
1747440237577,77.413670
1747440237833,77.413670
1747440238089,77.413670
1747440238338,77.413670
1747440238608,77.407798
1747440238873,77.407798
1747440239132,77.407798
1747440239391,77.407798
1747440239662,76.870272
1747440239920,76.870272
1747440240183,76.870272
1747440240432,76.870272
1747440240699,77.084076
1747440240961,77.084076
1747440241215,77.084076
1747440241480,77.084076
1747440241747,76.815978
1747440242012,76.815978
1747440242268,76.815978
1747440242515,76.815978
1747440242768,77.001808
1747440243011,77.001808
1747440243259,77.001808
1747440243511,77.001808
1747440243782,77.234287
1747440244034,77.234287
1747440244288,77.234287
1747440244541,77.234287
1747440244810,76.874865
1747440245060,76.874865
1747440245309,76.874865
1747440245553,76.874865
1747440245823,75.800696
1747440246088,75.800696
1747440246336,75.800696
1747440246592,75.800696
1747440246868,76.965216
1747440247118,76.965216
1747440247359,76.965216
1747440247607,76.965216
1747440247869,77.062488
1747440248116,77.062488
1747440248389,77.062488
1747440248648,77.062488
1747440248909,77.239950
1747440249170,77.239950
1747440249428,77.239950
1747440249689,77.239950
1747440249956,76.934910
1747440250213,76.934910
1747440250469,76.934910
1747440250732,76.934910
1747440250990,76.848038
1747440251251,76.848038
1747440251510,76.848038
1747440251769,76.848038
1747440252035,76.937770
1747440252279,76.937770
1747440252533,76.937770
1747440252783,76.937770
1747440253051,76.677948
1747440253307,76.677948
1747440253553,76.677948
1747440253809,76.677948
1747440254082,73.768539
1747440254336,73.768539
1747440254587,73.768539
1747440254835,73.768539
1747440255110,73.337334
1747440255372,73.337334
1747440255644,73.337334
1747440255900,73.337334
1747440256165,76.910528
1747440256420,76.910528
1747440256680,76.910528
1747440256943,76.910528
1747440257216,76.883027
1747440257473,76.883027
1747440257735,76.883027
1747440257985,76.883027
1747440258254,77.170352
1747440258506,77.170352
1747440258765,77.170352
1747440259023,77.170352
1747440259294,76.879714
1747440259547,76.879714
1747440259811,76.879714
1747440260065,76.879714
1747440260327,75.323162
1747440260573,75.323162
1747440260822,75.323162
1747440261077,75.323162
1747440261336,77.037826
1747440261584,77.037826
1747440261834,77.037826
1747440262093,77.037826
1747440262349,76.928204
1747440262591,76.928204
1747440262844,76.928204
1747440263100,76.928204
1747440263357,77.085840
1747440263608,77.085840
1747440263861,77.085840
1747440264111,77.085840
1747440264379,77.235738
1747440264626,77.235738
1747440264885,77.235738
1747440265132,77.235738
1747440265394,76.760960
1747440265647,76.760960
1747440265908,76.760960
1747440266158,76.760960
1747440266422,77.129128
1747440266669,77.129128
1747440266934,77.129128
1747440267189,77.129128
1747440267453,76.987808
1747440267708,76.987808
1747440267959,76.987808
1747440268218,76.987808
1747440268487,76.810234
1747440268735,76.810234
1747440268986,76.810234
1747440269244,76.810234
1747440269502,76.941144
1747440269759,76.941144
1747440270019,76.941144
1747440270280,76.941144
1747440270542,77.194722
1747440270798,77.194722
1747440271064,77.194722
1747440271326,77.194722
1747440271589,77.548872
1747440271841,77.548872
1747440272092,77.548872
1747440272346,77.548872
1747440272606,77.566274
1747440272860,77.566274
1747440273112,77.566274
1747440273366,77.566274
1747440273641,77.647950
1747440273894,77.647950
1747440274144,77.647950
1747440274395,77.647950
1747440274659,73.125501
1747440274916,73.125501
1747440275180,73.125501
1747440275428,73.125501
1747440275682,76.853877
1747440275935,76.853877
1747440276194,76.853877
1747440276459,76.853877
1747440276724,76.889547
1747440276977,76.889547
1747440277220,76.889547
1747440277461,76.889547
1747440277719,76.784136
1747440277982,76.784136
1747440278237,76.784136
1747440278497,76.784136
1747440278761,77.199902
1747440279024,77.199902
1747440279278,77.199902
1747440279539,77.199902
1747440279806,76.669056
1747440280057,76.669056
1747440280305,76.669056
1747440280555,76.669056
1747440280818,76.761822
1747440281078,76.761822
1747440281333,76.761822
1747440281590,76.761822
1747440281852,76.671376
1747440282114,76.671376
1747440282373,76.671376
1747440282630,76.671376
1747440282898,77.312313
1747440283166,77.312313
1747440283417,77.312313
1747440283672,77.312313
1747440283945,77.356372
1747440284190,77.356372
1747440284443,77.356372
1747440284701,77.356372
1747440284968,76.896038
1747440285221,76.896038
1747440285475,76.896038
1747440285721,76.896038
1747440285988,77.241529
1747440286237,77.241529
1747440286488,77.241529
1747440286739,77.241529
1747440286999,77.013201
1747440287259,77.013201
1747440287503,77.013201
1747440287756,77.013201
1747440288021,77.236383
1747440288281,77.236383
1747440288536,77.236383
1747440288797,77.236383
1747440289049,77.166462
1747440289311,77.166462
1747440289567,77.166462
1747440289830,77.166462
1747440290095,77.088196
1747440290346,77.088196
1747440290602,77.088196
1747440290862,77.088196
1747440291118,77.193934
1747440291373,77.193934
1747440291624,77.193934
1747440291874,77.193934
1747440292143,77.286010
1747440292399,77.286010
1747440292660,77.286010
1747440292921,77.286010
1747440293192,76.738003
1747440293449,76.738003
1747440293714,76.738003
1747440293972,76.738003
1747440294248,76.961986
1747440294506,76.961986
1747440294767,76.961986
1747440295026,76.961986
1747440295292,77.207740
1747440295553,77.207740
1747440295808,77.207740
1747440296062,77.207740
1747440296314,77.799212
1747440296571,77.799212
1747440296817,77.799212
1747440297070,77.799212
1747440297333,77.354358
1747440297581,77.354358
1747440297833,77.354358
1747440298075,77.354358
1747440298333,76.962568
1747440298583,76.962568
1747440298839,76.962568
1747440299090,76.962568
1747440299354,77.016548
1747440299614,77.016548
1747440299855,77.016548
1747440300108,77.016548
1747440300376,77.315569
1747440300625,77.315569
1747440300875,77.315569
1747440301131,77.315569
1747440301392,77.368086
1747440301642,77.368086
1747440301892,77.368086
1747440302148,77.368086
1747440302407,76.792541
1747440302666,76.792541
1747440302920,76.792541
1747440303170,76.792541
1747440303435,77.050404
1747440303690,77.050404
1747440303950,77.050404
1747440304204,77.050404
1747440304473,76.505408
1747440304724,76.505408
1747440304977,76.505408
1747440305233,76.505408
1747440305498,77.242286
1747440305747,77.242286
1747440306009,77.242286
1747440306259,77.242286
1747440306520,77.359470
1747440306775,77.359470
1747440307034,77.359470
1747440307285,77.359470
1747440307549,77.496577
1747440307815,77.496577
1747440308074,77.496577
1747440308318,77.496577
1747440308591,76.798328
1747440308843,76.798328
1747440309096,76.798328
1747440309353,76.798328
1747440309627,77.807310
1747440309882,77.807310
1747440310148,77.807310
1747440310401,77.807310
1747440310669,76.818294
1747440310926,76.818294
1747440311192,76.818294
1747440311442,76.818294
1747440311707,76.750087
1747440311967,76.750087
1747440312217,76.750087
1747440312464,76.750087
1747440312732,76.927514
1747440312994,76.927514
1747440313251,76.927514
1747440313511,76.927514
1747440313776,77.530270
1747440314025,77.530270
1747440314281,77.530270
1747440314547,77.530270
1747440314816,69.284990
1747440315066,69.284990
1747440315317,69.284990
1747440315562,69.284990
1747440315829,72.928409
1747440316081,72.928409
1747440316334,72.928409
1747440316594,72.928409
1747440316863,77.208744
1747440317117,77.208744
1747440317367,77.208744
1747440317618,77.208744
1747440317882,77.444089
1747440318135,77.444089
1747440318394,77.444089
1747440318645,77.444089
1747440318909,77.618484
1747440319157,77.618484
1747440319423,77.618484
1747440319685,77.618484
1747440319948,77.449169
1747440320205,77.449169
1747440320469,77.449169
1747440320731,77.449169
1747440321006,77.266391
1747440321255,77.266391
1747440321510,77.266391
1747440321755,77.266391
1747440322018,77.204735
1747440322275,77.204735
1747440322530,77.204735
1747440322782,77.204735
1747440323038,77.388693
1747440323289,77.388693
1747440323555,77.388693
1747440323806,77.388693
1747440324068,77.661542
1747440324314,77.661542
1747440324572,77.661542
1747440324829,77.661542
1747440325091,76.482351
1747440325349,76.482351
1747440325597,76.482351
1747440325856,76.482351
1747440326132,77.482415
1747440326382,77.482415
1747440326638,77.482415
1747440326884,77.482415
1747440327140,77.034958
1747440327404,77.034958
1747440327666,77.034958
1747440327928,77.034958
1747440328189,76.961765
1747440328443,76.961765
1747440328701,76.961765
1747440328952,76.961765
1747440329213,76.960794
1747440329476,76.960794
1747440329734,76.960794
1747440329998,76.960794
1747440330267,76.539528
1747440330527,76.539528
1747440330775,76.539528
1747440331027,76.539528
1747440331294,77.275358
1747440331543,77.275358
1747440331792,77.275358
1747440332051,77.275358
1747440332312,77.749138
1747440332574,77.749138
1747440332830,77.749138
1747440333086,77.749138
1747440333356,77.717484
1747440333619,77.717484
1747440333877,77.717484
1747440334132,77.717484
1747440334395,77.631199
1747440334657,77.631199
1747440334902,77.631199
1747440335165,77.631199
1747440335422,77.040832
1747440335682,77.040832
1747440335945,77.040832
1747440336197,77.040832
1747440336469,77.515736
1747440336745,77.515736
1747440336989,77.515736
1747440337240,77.515736
1747440337498,76.936414
1747440337756,76.936414
1747440338010,76.936414
1747440338262,76.936414
1747440338534,77.182146
1747440338793,77.182146
1747440339041,77.182146
1747440339289,77.182146
1747440339551,76.652221
1747440339804,76.652221
1747440340059,76.652221
1747440340317,76.652221
1747440340582,77.536823
1747440340842,77.536823
1747440341093,77.536823
1747440341350,77.536823
1747440341610,77.069052
1747440341869,77.069052
1747440342128,77.069052
1747440342379,77.069052
1747440342648,69.546270
1747440342909,69.546270
1747440343155,69.546270
1747440343410,69.546270
1747440343664,77.262238
1747440343914,77.262238
1747440344159,77.262238
1747440344413,77.262238
1747440344671,77.432795
1747440344915,77.432795
1747440345161,77.432795
1747440345408,77.432795
1747440345678,77.052341
1747440345940,77.052341
1747440346200,77.052341
1747440346452,77.052341
1747440346710,73.199625
1747440346963,73.199625
1747440347213,73.199625
1747440347469,73.199625
1747440347732,77.422703
1747440347984,77.422703
1747440348230,77.422703
1747440348487,77.422703
1747440348755,77.463345
1747440349003,77.463345
1747440349258,77.463345
1747440349508,77.463345
1747440349760,77.273332
1747440350018,77.273332
1747440350266,77.273332
1747440350523,77.273332
1747440350778,77.182468
1747440351034,77.182468
1747440351296,77.182468
1747440351556,77.182468
1747440351809,77.224066
1747440352069,77.224066
1747440352320,77.224066
1747440352570,77.224066
1747440352836,77.235256
1747440353094,77.235256
1747440353345,77.235256
1747440353597,77.235256
1747440353848,77.402116
1747440354088,77.402116
1747440354337,77.402116
1747440354583,77.402116
1747440354851,76.890989
1747440355107,76.890989
1747440355352,76.890989
1747440355600,76.890989
1747440355866,76.818168
1747440356116,76.818168
1747440356374,76.818168
1747440356622,76.818168
1747440356884,76.666734
1747440357143,76.666734
1747440357389,76.666734
1747440357639,76.666734
1747440357909,76.977730
1747440358173,76.977730
1747440358426,76.977730
1747440358680,76.977730
1747440358948,76.269640
1747440359193,76.269640
1747440359451,76.269640
1747440359839,76.269640
Command: /home/x_thileeb/repos/OPS_mine/apps/c/jac2D9pt_fpga_experimental/hls/build/hw/jac2D9pt_host /home/x_thileeb/repos/OPS_mine/apps/c/jac2D9pt_fpga_experimental/hls/build/hw/jac2D9pt.xclbin -sizex=200 -sizey=100 -iters=60018 -piter=5000
