grid_x,grid_y,grid_z,average_main_time
30,30,30,65330.06
50,50,50,252790.38
100,100,100,1375993.5
150,150,150,4043255.0
200,200,200,8926468.0
250,250,250,16688600.0
300,300,300,28000550.0
