grid_x,grid_y,grid_z,average_main_time
30,30,30,53858.44
50,50,50,214929.78
75,75,75,508165.6
100,100,100,1155126.0
150,150,150,3358689.0
200,200,200,7341588.0
250,250,250,13732950.0
300,300,300,22810000.0
