iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S)
60012,1,100x100,23332.27,10000,17,437.2502118
60012,1,200x100,40426.48,20000,17,504.7206682
60012,1,200x200,69733.54,40000,17,585.2013249
60012,1,300x150,78278.98,45000,17,586.4815816
60012,1,300x300,140914.5,90000,17,651.5891551
60012,1,400x200,130534.2,80000,17,625.2485556
60012,1,400x300,187411.5,120000,17,653.2388888
60012,1,400x400,244374.5,160000,17,667.9610188
Max,,,,,,667.9610188
