iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_1000_batches(kJ)
60000,1,100x100,406065.65,10000,18,26.59668455,1,60.26,888,0.05351088,0.05351088,53.51088
60000,1,200x100,412891.55,20000,18,52.3139793,1,82.45,830,0.0684335,0.0684335,68.4335
60000,1,200x200,406783.75,40000,18,106.1989325,1,84.454,777,0.065620758,0.065620758,65.620758
60000,1,300x150,407173.6,45000,18,119.3594084,1,85.808,773,0.066329584,0.066329584,66.329584
60000,1,300x300,408653.05,90000,18,237.854581,1,87.47181818,837,0.073213912,0.073213912,73.21391182
60000,1,400x200,402900.35,80000,18,214.4450855,1,88.968,785,0.06983988,0.06983988,69.83988
60000,1,400x300,403845.35,120000,18,320.9149245,1,90.72454545,837,0.075936445,0.075936445,75.93644455
60000,1,400x400,411313.3,160000,18,420.1177059,1,94.52181818,832,0.078642153,0.078642153,78.64215273
Max,,,,,,420.1177059,,,,,,
