iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_1000_batches(kJ)
60012,1,100x100,22434.92,10000,17,454.7393082,5000,40.92,118008,4.82888736,0.000965777,0.965777472
60012,1,200x100,38382.67,20000,17,531.5961605,5000,41.31707317,196450,8.116739024,0.001623348,1.623347805
60012,1,200x200,67336.42,40000,17,606.0340006,5000,41.53521127,344524,14.30987713,0.002861975,2.861975425
60012,1,300x150,75599.95,45000,17,607.2646873,2500,40.41463415,196945,7.959460122,0.003183784,3.183784049
60012,1,300x300,138914,90000,17,660.9726881,1000,40.36666667,142464,5.7507968,0.005750797,5.7507968
60012,1,400x200,130810.5,80000,17,623.9278957,500,39.3125,73502,2.889547375,0.005779095,5.77909475
60012,1,400x300,188718.15,120000,17,648.715982,500,38.42857143,98470,3.784061429,0.007568123,7.568122857
60012,1,400x400,246489.15,160000,17,662.2305282,500,37.88888889,127955,4.848072778,0.009696146,9.696145556
Max,,,,,,662.2305282,,,,,,
