iterations,batch,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_10k_batches(kJ)
60000,1,100,4664.05,100,5,6.432178043,,,,,,
60000,1,150,4595.065,150,5,9.793115005,,,,,,
60000,1,200,4626.595,200,5,12.96850059,,,,,,
60000,1,500,3943.32,500,5,38.03901281,,,,,,
60000,1,1000,4637.16,1000,5,64.69477007,100,84.29727273,858,0.07232706,0.000723271,7.232706
60000,1,2000,4618.09,2000,5,129.923843,100,82.42454545,830,0.068412373,0.000684124,6.841237273
60000,1,5000,3944.06,5000,5,380.3187578,100,82.57,867,0.07158819,0.000715882,7.158819
60000,1,10000,4621.54,10000,5,649.1342713,100,83.24909091,865,0.072010464,0.000720105,7.201046364
60000,1,20000,4549.535,20000,5,1318.816099,100,84.02090909,865,0.072678086,0.000726781,7.267808636
60000,1,30000,4579.075,30000,5,1965.462457,100,85.06909091,903,0.076817389,0.000768174,7.681738909
Max,,,,,,1965.462457,,,,,,
