grid_x,grid_y,grid_z,average_main_time
100,100,1,11047.95
200,100,1,17000.199999999997
200,200,1,31770.45
300,150,1,34488.95
300,300,1,65499.95
400,200,1,57468.7
400,300,1,83916.3
400,400,1,109987.5
