File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 10000 Batches (kJ)
100_1_hls_power_profile.csv,100,1,1,1,1000,32.74140320000001,6425,0.21036351556000005,0.00021036351556000005,2.1036351556000006
100_10_hls_power_profile.csv,100,1,1,10,1000,37.564157333333334,1513,0.05683457004533333,5.683457004533333e-05,0.5683457004533333
100_20_hls_power_profile.csv,100,1,1,20,2000,35.24325974999999,1345,0.04740218436374999,2.3701092181874993e-05,0.23701092181874994
100_50_hls_power_profile.csv,100,1,1,50,2000,36.734114000000005,1250,0.04591764250000001,2.2958821250000004e-05,0.22958821250000006
100_100_hls_power_profile.csv,100,1,1,100,5000,38.818675999999996,1289,0.050037273364,1.0007454672799999e-05,0.100074546728
100_200_hls_power_profile.csv,100,1,1,200,5000,36.0593308,1268,0.0457232314544,9.14464629088e-06,0.09144646290880001
150_1_hls_power_profile.csv,150,1,1,1,1000,32.15447269565217,6172,0.19845740547756519,0.00019845740547756518,1.9845740547756519
150_10_hls_power_profile.csv,150,1,1,10,1000,34.848812,1519,0.052935345428,5.2935345428e-05,0.52935345428
150_20_hls_power_profile.csv,150,1,1,20,2000,35.589981333333334,1467,0.05221050261600001,2.6105251308000002e-05,0.26105251308000005
150_50_hls_power_profile.csv,150,1,1,50,2000,35.3680844,1180,0.041734339592,2.0867169796e-05,0.20867169795999999
150_100_hls_power_profile.csv,150,1,1,100,5000,40.5301058,1110,0.04498841743800001,8.997683487600002e-06,0.08997683487600001
150_200_hls_power_profile.csv,150,1,1,200,5000,46.315242,1309,0.060626651777999994,1.2125330355599999e-05,0.12125330355599999
200_1_hls_power_profile.csv,200,1,1,1,1000,32.559659875,6291,0.20483282027362504,0.00020483282027362505,2.0483282027362506
200_10_hls_power_profile.csv,200,1,1,10,1000,36.1605355,1413,0.051094836661500005,5.1094836661500005e-05,0.5109483666150001
200_20_hls_power_profile.csv,200,1,1,20,2000,38.3841422,1368,0.0525095065296,2.62547532648e-05,0.26254753264799996
200_50_hls_power_profile.csv,200,1,1,50,2000,41.0206364,1157,0.047460876314800005,2.3730438157400002e-05,0.23730438157400002
200_100_hls_power_profile.csv,200,1,1,100,5000,49.33634133333334,1524,0.075188584192,1.50377168384e-05,0.150377168384
200_200_hls_power_profile.csv,200,1,1,200,5000,46.307077833333345,1556,0.07205381310866668,1.4410762621733336e-05,0.14410762621733336
500_1_hls_power_profile.csv,500,1,1,1,1000,33.30043307692308,6544,0.2179180340553846,0.0002179180340553846,2.179180340553846
500_10_hls_power_profile.csv,500,1,1,10,1000,38.561658333333334,1480,0.057071254333333335,5.7071254333333334e-05,0.5707125433333333
500_20_hls_power_profile.csv,500,1,1,20,2000,42.35837228571428,1692,0.07167036590742856,3.583518295371428e-05,0.35835182953714284
500_50_hls_power_profile.csv,500,1,1,50,2000,41.736888,1612,0.067279863456,3.3639931728e-05,0.33639931728
500_100_hls_power_profile.csv,500,1,1,100,5000,50.360265555555564,2253,0.11346167829666669,2.2692335659333338e-05,0.22692335659333338
500_200_hls_power_profile.csv,500,1,1,200,5000,46.07355174999999,2104,0.09693875288199999,1.93877505764e-05,0.19387750576399998
1000_1_hls_power_profile.csv,1000,1,1,1,1000,34.70097585714286,7108,0.24665453639257143,0.00024665453639257143,2.4665453639257144
1000_10_hls_power_profile.csv,1000,1,1,10,1000,42.13222757142858,1792,0.07550095180800001,7.550095180800002e-05,0.7550095180800002
1000_20_hls_power_profile.csv,1000,1,1,20,2000,46.613956,2429,0.113225299124,5.6612649562000006e-05,0.5661264956200001
1000_50_hls_power_profile.csv,1000,1,1,50,2000,47.208296000000004,2090,0.09866533864,4.933266932e-05,0.4933266932
1000_100_hls_power_profile.csv,1000,1,1,100,5000,49.568446266666676,3792,0.18796354824320002,3.7592709648640004e-05,0.37592709648640005
1000_200_hls_power_profile.csv,1000,1,1,200,5000,40.82407814285715,3677,0.15011013533128573,3.0022027066257145e-05,0.30022027066257145
2000_1_hls_power_profile.csv,2000,1,1,1,1000,34.404600517241384,7428,0.255557372642069,0.000255557372642069,2.55557372642069
2000_10_hls_power_profile.csv,2000,1,1,10,1000,41.87507644444444,2255,0.09442829738222219,9.44282973822222e-05,0.9442829738222219
2000_20_hls_power_profile.csv,2000,1,1,20,2000,42.57554800000001,3308,0.14083991278400004,7.041995639200002e-05,0.7041995639200003
2000_50_hls_power_profile.csv,2000,1,1,50,2000,40.880932916666666,2915,0.11916791945208334,5.958395972604167e-05,0.5958395972604167
2000_100_hls_power_profile.csv,2000,1,1,100,5000,39.56794692307692,6540,0.25877437287692306,5.175487457538461e-05,0.5175487457538461
2000_200_hls_power_profile.csv,2000,1,1,200,5000,38.659928279999995,6445,0.24916323776459998,4.983264755292e-05,0.49832647552919995
5000_1_hls_power_profile.csv,5000,1,1,1,1000,36.6453924,8996,0.3296619500304,0.00032966195003039997,3.2966195003039998
5000_10_hls_power_profile.csv,5000,1,1,10,1000,43.87974693333332,3816,0.16744511429759995,0.00016744511429759996,1.6744511429759996
5000_20_hls_power_profile.csv,5000,1,1,20,2000,43.77226507692308,6648,0.2909980182313846,0.0001454990091156923,1.4549900911569231
